For Account:,####2641

TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
07/11/22,Dividend,EQ,MO,1.64745,-69.81,0,0,ALTRIA GROUP INC              REIN @  42.3745               REC 06/15/22 PAY 07/11/22
07/11/22,Dividend,EQ,MO,0,69.81,0,0,ALTRIA GROUP INC              CASH DIV  ON                  77.56264 SHS                  REC 06/15/22 PAY 07/11/22
07/07/22,Dividend,EQ,QSR,0.63544,-32.61,0,0,***RESTAURANT BRANDS          INTERNATIONAL INC COM         REIN @  51.3188               REC 06/22/22 PAY 07/06/22
07/07/22,Dividend,EQ,QSR,0,-5.76,0,0,***RESTAURANT  Foreign Stk W/HINTERNATIONAL INC COM         CASH DIV  ON                  71.04735 SHS
07/07/22,Dividend,EQ,QSR,0,38.37,0,0,***RESTAURANT BRANDS          INTERNATIONAL INC COM         CASH DIV  ON                  71.04735 SHS
07/01/22,Dividend,EQ,HQH,5.76445,-104.74,0,0,TEKLA HEALTHCARE INVS         SH BEN INT                    REIN @  18.1700               REC 05/27/22 PAY 06/30/22
07/01/22,Dividend,EQ,PDO,1.37326,-19.23,0,0,PIMCO DYNAMIC INCOME          OPPORTUNITIES FD COM          REIN @  14.0032               REC 06/13/22 PAY 07/01/22
07/01/22,Dividend,EQ,PNNT,10.09085,-62.71,0,0,PENNANTPARK INVESTMENT CORP   COMMON STOCK                  REIN @   6.2145               REC 06/17/22 PAY 07/01/22
07/01/22,Dividend,EQ,HQH,0,104.74,0,0,TEKLA HEALTHCARE INVS         SH BEN INT                    CASH DIV  ON                  238.03728 SHS
07/01/22,Dividend,EQ,PDO,0,19.23,0,0,PIMCO DYNAMIC INCOME          OPPORTUNITIES FD COM          CASH DIV  ON                  162.37602 SHS
07/01/22,Dividend,EQ,PNNT,0,62.71,0,0,PENNANTPARK INVESTMENT CORP   COMMON STOCK                  CASH DIV  ON                  432.48561 SHS




